Date,Year,Month,Day,Hour,MeanWS,MeanWD,MaxGustWS,MaxGustWD,Precipitation,GlobalSolarRadiation,TiltSolarIrradiance,DiffuseSolarIrradiance,OpenAirTempAvg,ModuleTempAvg,PowerAvg
2011-08-01 00:00:00,2011,8,1,0,4.0,WSW,6.2,WSW,0.0,0.0,0.0,0.0,25.0,22.016666666666666,0.0
2011-08-01 01:00:00,2011,8,1,1,4.5,WSW,14.0,WSW,0.0,0.0,0.0,0.0,24.799999999999997,22.083333333333332,0.0
2011-08-01 02:00:00,2011,8,1,2,4.0,WSW,6.6,W,0.0,0.0,0.0,0.0,24.950000000000003,22.308333333333334,0.0
2011-08-01 03:00:00,2011,8,1,3,4.5,WSW,6.4,WSW,0.0,0.0,0.0,0.0,24.799999999999997,22.099999999999994,0.0
2011-08-01 04:00:00,2011,8,1,4,4.9,WSW,7.9,WSW,0.0,0.0,0.0,0.0,24.5,21.90833333333333,0.0
2011-08-01 05:00:00,2011,8,1,5,4.1,W,8.0,W,0.0,0.0,0.0,0.0,24.65,21.933333333333334,0.0
2011-08-01 06:00:00,2011,8,1,6,5.0,WSW,12.4,WSW,0.0,0.0,0.0,0.0,24.700000000000003,21.983333333333334,0.0
2011-08-01 07:00:00,2011,8,1,7,4.3,W,8.4,WSW,0.0,0.2,0.2,0.18,25.05,23.541666666666668,43.0
2011-08-01 08:00:00,2011,8,1,8,5.4,W,8.4,W,0.0,0.85,0.85,0.6,26.6,28.86666666666667,139.5
2011-08-01 09:00:00,2011,8,1,9,6.2,W,11.5,W,0.0,1.65,1.56,0.85,29.05,36.625,280.0
2011-08-01 10:00:00,2011,8,1,10,8.7,W,13.5,W,0.0,2.64,2.36,0.7,31.5,42.958333333333336,386.5
2011-08-01 11:00:00,2011,8,1,11,8.0,W,14.9,W,0.0,3.23,2.8,0.67,32.849999999999994,46.458333333333336,328.5
2011-08-01 12:00:00,2011,8,1,12,9.2,W,16.5,W,0.0,3.67,3.16,0.65,34.1,49.48333333333333,562.0
2011-08-01 13:00:00,2011,8,1,13,8.1,W,16.6,W,0.0,3.77,3.28,0.79,34.900000000000006,51.03333333333333,520.0
2011-08-01 14:00:00,2011,8,1,14,10.9,W,16.4,W,0.0,3.3,2.99,1.24,35.1,49.06666666666667,386.0
2011-08-01 15:00:00,2011,8,1,15,9.1,W,15.2,W,0.0,2.48,2.31,1.34,34.55,44.583333333333336,383.0
2011-08-01 16:00:00,2011,8,1,16,9.0,W,15.7,W,0.0,1.75,1.68,1.0,33.55,39.925000000000004,281.5
2011-08-01 17:00:00,2011,8,1,17,9.3,W,17.5,W,0.0,1.1,1.06,0.65,32.55,36.275,190.5
2011-08-01 18:00:00,2011,8,1,18,7.7,W,15.3,W,0.0,0.4,0.39,0.25,30.9,30.691666666666666,61.5
2011-08-01 19:00:00,2011,8,1,19,6.6,W,13.0,W,0.0,0.02,0.02,0.01,29.2,26.95833333333334,4.0
2011-08-01 20:00:00,2011,8,1,20,5.7,W,10.4,W,0.0,0.0,0.0,0.0,28.0,25.266666666666666,0.0
2011-08-01 21:00:00,2011,8,1,21,2.8,W,7.8,WSW,0.0,0.0,0.0,0.0,26.85,24.041666666666668,0.0
